Name,Rating,Address,City,State,ZIP Code,Latitude,Longitude
Feitiço Mineiro Restaurante,4.5,CLN 306 BL D  lj 45/51,Brasília,DF,70745-540,-15.758862,-47.88882
BFC,4.0,Cln 110 BLOCO B LOJA 62,Shcn,DF,,-15.758862,-47.88882
Maori Gastronomia,4.5,"CLN, 110",Brasília,DF,70753-000,-15.758862,-47.88882
Sushi Woman,4.0,CLN 109 BL A  lj 20,Brasília,DF,70752-510,-15.758862,-47.88882
Mucho Gusto Gastronomia,4.5,CLN 309 BL A  lj 20,Brasília,DF,70755-510,-15.758862,-47.88882
El Paso Texas,4.0,CLN 110,Brasília,DF,70753-520,-15.758862,-47.88882
Asa Gaúcha Restaurante,4.5,"SCLRN 709 BL E, 56",Brasília,DF,70750-515,-15.758862,-47.88882
Kikebab Kebaberia,3.5,"SCLN 110 Bloco B, 38",Brasília,DF,70753-520,-15.758862,-47.88882
Fratello Uno Pizzaria,4.5,"CLN, 109",Brasília,DF,70752-540,-15.758862,-47.88882
Oyá Cozinha Vegana,5.0,"CLN, 109",Brasília,DF,70746-510,-15.758862,-47.88882
Palato Ice Cream Shop,4.0,"CLN 309 Bloco A, 28",Brasília,DF,70755-510,-15.758862,-47.88882
Crepe Au Chocolat,3.5,"CLN 109 Bloco C, 5",Brasília,DF,70752-530,-15.758862,-47.88882
Sabor Glacé,4.0,CLN 108,Brasília,DF,70744-530,-15.758862,-47.88882
Bar Beirute,4.0,"CLN, 107",Brasília,DF,70372-510,-15.758862,-47.88882
Marvin American Burgers,4.0,"CLN 110 Bloco A, 10",Brasilia,DF,70753520,-15.758862,-47.88882
Talher Brasil,3.5,CLN 306 BL E  lj 7,Brasília,DF,70745-550,-15.758862,-47.88882
Açaí da Amazônia,4.0,"CLN 311 Bloco B, 34",Brasília,DF,70757-520,-15.758862,-47.88882
Nathely Pizzaria,4.0,CLN 107 BL D,Brasília,DF,70743-540,-15.758862,-47.88882
Amor à Natureza,4.0,"CLN 310, Bloco A",Brasília,DF,70756-510,-15.758862,-47.88882
Gordeixo Pizzaria,4.5,CLN 306 BL B  lj 13,Brasília,DF,70745-520,-15.758862,-47.88882
Bar Beirute,4.0,"CLN, 107",Brasília,DF,70372-510,-15.766,-47.88646
Koni,4.0,CLN 107 Bloco D,Asa Norte,DF,70743-587,-15.766,-47.88646
Feitiço Mineiro Restaurante,4.5,CLN 306 BL D  lj 45/51,Brasília,DF,70745-540,-15.766,-47.88646
Mr. Brownie,4.5,"CLN, 108",Brasília,DF,70744-540,-15.766,-47.88646
Mucho Gusto Gastronomia,4.5,CLN 309 BL A  lj 20,Brasília,DF,70755-510,-15.766,-47.88646
Pedacinho Pizzas,4.0,"CLN 108 Bloco B, 8",Brasília,DF,70744-520,-15.766,-47.88646
Sebinho,4.5,"CLN 406 Bloco C, 44",Brasília,DF,70847-530,-15.766,-47.88646
Maestra Vida Restaurante,5.0,"Comércio Local Norte, 107",Brasília,DF,70743-530,-15.766,-47.88646
Xique Xique,4.0,"SCLRN 708 Bloco E, 45",Brasília,DF,70740-555,-15.766,-47.88646
Pizzas Dom Bosco,4.0,"CLN 306 Bloco C, 46",Brasília,DF,70745-530,-15.766,-47.88646
Talher Brasil,3.5,CLN 306 BL E  lj 7,Brasília,DF,70745-550,-15.766,-47.88646
Mesclattino,4.5,"Cln 107 Norte, bloco D, loja 43",Shcn,DF,,-15.766,-47.88646
Gordeixo Pizzaria,4.5,CLN 306 BL B  lj 13,Brasília,DF,70745-520,-15.766,-47.88646
Carcassonne Pub,4.0,CLN 407,Brasília,DF,70855-050,-15.766,-47.88646
Asa Gaúcha Restaurante,4.5,"SCLRN 709 BL E, 56",Brasília,DF,70750-515,-15.766,-47.88646
Palato Ice Cream Shop,4.0,"CLN 309 Bloco A, 28",Brasília,DF,70755-510,-15.766,-47.88646
