name,empty_slots,free_bikes,latitude,longitude
56 - CLN 110 W1 Norte,7,4,-15.758862,-47.88882
54 - CLN 107,7,4,-15.766,-47.88646
42 - CLN 204 L1 Norte,5,4,-15.77662,-47.87749
48 - CLN 209 L1 Norte,5,10,-15.75737,-47.88223
43 - SQN 405 L2 Norte,10,5,-15.77163,-47.87505
60 - Parque Olhos d'Água,9,2,-15.7431,-47.88667
63 - Parque da Cidade Sudoeste,5,10,-15.80362,-47.922115
64 - CLSW 103,11,0,-15.800801,-47.924156
49 - IFB,4,7,-15.75394,-47.87968
66 - Parque Bosque do Sudoeste,11,0,-15.79625,-47.92669
52 - EQN 104/105 W1 Norte,6,5,-15.7742267,-47.884534
53 - Praça da 705/706,7,4,-15.77162,-47.88897
24 - CLS 103 W1 Sul,3,7,-15.80585,-47.89368
25 - EQS 705/706 W3 Sul,9,2,-15.80786,-47.90086
26 - Praça 21 de Abril,11,0,-15.81152,-47.90537
27 - CLS 202 L1 Sul,6,5,-15.80591,-47.88487
20 - Shopping Pátio Brasil,9,1,-15.79728,-47.89144
21 - Metrô Galeria,15,4,-15.799,-47.88558
22 - Metrô 102 Sul,7,7,-15.80552,-47.89005
23 - Santuário Dom Bosco,11,0,-15.80048,-47.894
46 - SQN 207 ERL Norte,7,6,-15.765416,-47.8822458
47 - SQN 408 L2 Norte,7,8,-15.76071938,-47.87787
44 - CLN 206 L1 Norte,1,10,-15.769631,-47.878498
45 - CLN 406 L2 Norte,12,7,-15.76539,-47.87646
29 - SQS 402 L2 Sul,3,8,-15.8093871,-47.883783
41 - SQN 402 L2 Norte,5,6,-15.7809333,-47.8742053
65 - CLSW 101,7,4,-15.797501,-47.919256
2 - Praça CLDF,5,6,-15.7864,-47.91002
1 - Memorial JK,13,2,-15.78524,-47.9136
59 - Plaza Norte ERW Norte,4,7,-15.75447,-47.88741
58 - 711/911 W4 norte,14,1,-15.75565,-47.89678
19 - Praça do Compromisso,10,1,-15.80371,-47.89677
18 - Parque da Cidade SRTVS,23,3,-15.79498,-47.89508
31 - CLS 405 L2 Sul,7,4,-15.81576,-47.88963
30 - CLS 204,8,3,-15.81078,-47.88899
37 - Igrejinha,10,1,-15.81428,-47.90281
36 - Metrô 108 Sul,13,1,-15.81845,-47.90425
35 - CLS 207 L1 Sul,8,3,-15.81975,-47.89879
34 - Brasília Shopping,4,6,-15.78696,-47.88786
33 - CLS 407 L2 Sul,4,7,-15.820776,-47.89532
32 - SQS 406,10,1,-15.81603,-47.89383
50 - SQN 411 L1 Norte,9,2,-15.751378,-47.883785
57 - 709/710 W3 Norte,10,1,-15.7586355,-47.89290279999999
UNB Instituto de Artes,17,6,-15.765081,-47.870828
68 - UNB ICC Sul,9,6,-15.766054,-47.867025
69 - UNB PAT,9,6,-15.75939,-47.87037
39 - OAB,7,4,-15.80433,-47.87934
38 - SQS 105 W1 Sul,7,4,-15.81039,-47.89803
62 - CLN 102,9,2,-15.78307,-47.88402
55 - UniCEUB,9,0,-15.76929,-47.8925
51 - 702/703 W3 Norte,11,0,-15.78104,-47.89076
5 - Setor Hoteleiro Norte,3,8,-15.7911,-47.8867
4 - Torre de TV,4,7,-15.78813,-47.89467
7 - Rodoviária Leste,0,19,-15.79356,-47.8813
6 - Rodoviária Oeste,7,16,-15.79276,-47.88358
9 - Ministério dos Transportes Bloco R,6,5,-15.79751,-47.86669
8 - Rodoviária Superior,16,3,-15.79297,-47.882997
11 - Ministério da Economia Bloco F,13,2,-15.7993,-47.86937
10 - STF,5,6,-15.80136,-47.86296
12 - Ministério da Cidadania Bloco B,8,3,-15.79825,-47.87266
13 - Catedral Metropolitana,9,5,-15.79762,-47.87458
15 - Ministério da Defesa Bloco O,11,0,-15.79626,-47.87105
14 - Ministério da Economia Bloco J,10,1,-15.79521,-47.87454
16 - Setor Hoteleiro Sul,10,1,-15.792664,-47.89194969
3 - Centro de Convenções,7,4,-15.78611,-47.9007
70 - UNB Centro Olímpico,9,2,-15.76502,-47.8584
17 - Funarte,4,10,-15.7911626,-47.8976
61 - CLN 113 W1 Norte,8,3,-15.75038,-47.89166
28 - Banco Central,6,5,-15.79974,-47.88411
40 - SBN,5,6,-15.78971,-47.880585
